LEXICON:	lex-usa.txt	ENG	en_US
LEXENTRY:	LIBRARY	LIBRARY	PLACEN	DETACH
LEXENTRY:	LIGHT	LGT	TYPE	DET_SUF
LEXENTRY:	LIGHTS	LGTS	TYPE	DET_SUF
LEXENTRY:	LIMITED	LIMITED	PLACEN	DETACH
LEXENTRY:	LK	LK	TYPE	DET_SUF
LEXENTRY:	LKS	LKS	TYPE	DET_SUF
LEXENTRY:	LLC	LLC	PLACEN	DETACH
LEXENTRY:	LLP	LLP	PLACEN	DETACH
LEXENTRY:	LN	LN	TYPE	DET_SUF
LEXENTRY:	LN.	LN	TYPE	DET_SUF
LEXENTRY:	LNDG	LNDG	TYPE	DET_SUF
LEXENTRY:	LNDNG	LNDG	TYPE	DET_SUF
LEXENTRY:	LOAF	LF	TYPE	DET_SUF
LEXENTRY:	LOBBY	LOBBY	UNITH	DETACH
LEXENTRY:	LOCK	LCK	TYPE	DET_SUF
LEXENTRY:	LOCKS	LCKS	TYPE	DET_SUF
LEXENTRY:	LODG	LDG	TYPE	DET_SUF
LEXENTRY:	LODGE	LDG	TYPE	DET_SUF
LEXENTRY:	LOOP	LOOP	TYPE	DET_SUF
LEXENTRY:	LOOPS	LOOP	TYPE	DET_SUF
LEXENTRY:	LOT	LOT	UNITH	DETACH
LEXENTRY:	LOWER	LOWER	UNITH	DETACH
LEXENTRY:	LOWR	LOWER	UNITH	DETACH
LEXENTRY:	LP	LP	PLACEN	DETACH
LEXENTRY:	LTD	LTD	PLACEN	DETACH
LEXENTRY:	MA	Massachusetts	PROV	DETACH
LEXENTRY:	MALL	MALL	TYPE	DET_SUF
LEXENTRY:	MANOR	MNR	TYPE	DET_SUF
LEXENTRY:	MANORS	MNRS	TYPE	DET_SUF
LEXENTRY:	MARKET	MARKET	PLACEN	DETACH
LEXENTRY:	MD	Maryland	PROV	DETACH
LEXENTRY:	MDW	MDW	TYPE	DET_SUF
LEXENTRY:	MDWS	MDWS	TYPE	DET_SUF
LEXENTRY:	ME	Maine	PROV	DETACH
LEXENTRY:	MEADOW	MDW	TYPE	DET_SUF
LEXENTRY:	MEADOWS	MDWS	TYPE	DET_SUF
LEXENTRY:	MEDOWS	MDWS	TYPE	DET_SUF
LEXENTRY:	MEMORIAL	MEMORIAL	PLACEN	DETACH
LEXENTRY:	MEWS	MEWS	TYPE	DET_SUF
LEXENTRY:	MI	Michigan	PROV	DETACH
LEXENTRY:	MILL	ML	TYPE	DET_SUF
LEXENTRY:	MILLS	MLS	TYPE	DET_SUF
LEXENTRY:	MISSION	MSN	TYPE	DET_SUF
LEXENTRY:	MISSN	MSN	TYPE	DET_SUF
LEXENTRY:	ML	ML	TYPE	DET_SUF
LEXENTRY:	MLS	MLS	TYPE	DET_SUF
LEXENTRY:	MN	Minnesota	PROV	DETACH
LEXENTRY:	MNR	MNR	TYPE	DET_SUF
LEXENTRY:	MNRS	MNRS	TYPE	DET_SUF
LEXENTRY:	MNT	MT	TYPE	DET_SUF
LEXENTRY:	MNTAIN	MTN	TYPE	DET_SUF
LEXENTRY:	MNTN	MTN	TYPE	DET_SUF
LEXENTRY:	MO	Missouri	PROV	DETACH
LEXENTRY:	MONUMENT	MONUMENT	PLACEN	DETACH
LEXENTRY:	MOTELL	MOTELL	PLACEN	DETACH
LEXENTRY:	MOTORWAY	MTWY	TYPE	DET_SUF
LEXENTRY:	MOUNT	MT	TYPE	DET_SUF
LEXENTRY:	MOUNT	MT.	WORD	DETACH
LEXENTRY:	MOUNTAIN	MTN	TYPE	DET_SUF
LEXENTRY:	MOUNTAINS	MTNS	TYPE	DET_SUF
LEXENTRY:	MOUNTIN	MTN	TYPE	DET_SUF
LEXENTRY:	MS	Mississippi	PROV	DETACH
LEXENTRY:	MSN	MSN	TYPE	DET_SUF
LEXENTRY:	MSSN	MSN	TYPE	DET_SUF
LEXENTRY:	MT	Montana	PROV	DETACH
LEXENTRY:	MT	MT	TYPE	DET_SUF
LEXENTRY:	MT	MT.	WORD	DETACH
LEXENTRY:	MT.	MT	TYPE	DET_SUF
LEXENTRY:	MTIN	MTN	TYPE	DET_SUF
LEXENTRY:	MTN	MTN	TYPE	DET_SUF
LEXENTRY:	MTNS	MTNS	TYPE	DET_SUF
LEXENTRY:	MTWY	MTWY	TYPE	DET_SUF
LEXENTRY:	MUSEUM	MUSEUM	PLACEN	DETACH
LEXENTRY:	N	N.	WORD	DETACH
LEXENTRY:	N	N	DIRECT	DETACH
LEXENTRY:	N.	N	DIRECT	DETACH
LEXENTRY:	NA	NA	PLACEN	DETACH
LEXENTRY:	NC	North Carolina	PROV	DETACH
LEXENTRY:	NCK	NCK	TYPE	DET_SUF
LEXENTRY:	ND	North Dakota	PROV	DETACH
LEXENTRY:	NE	Nebraska	PROV	DETACH
LEXENTRY:	NE	NE	DIRECT	DETACH
LEXENTRY:	NE.	NE	DIRECT	DETACH
LEXENTRY:	NECK	NCK	TYPE	DET_SUF
LEXENTRY:	NH	New Hampshire	PROV	DETACH
LEXENTRY:	NINE	9	NUMBER	DETACH
LEXENTRY:	NINETEEN	19	NUMBER	DETACH
LEXENTRY:	NINETEENTH	19TH	WORD,ORD	DETACH
LEXENTRY:	NINETIETH	90TH	WORD,ORD	DETACH
LEXENTRY:	NINETY	90	NUMBER	DETACH
LEXENTRY:	NINTH	9TH	WORD,ORD	DETACH
LEXENTRY:	NJ	New Jersey	PROV	DETACH
LEXENTRY:	NM	New Mexico	PROV	DETACH
LEXENTRY:	NORTH	N.	WORD	DETACH
LEXENTRY:	NORTH	N	DIRECT	DETACH
LEXENTRY:	NORTHEAST	NE	DIRECT	DETACH
LEXENTRY:	NORTHWEST	NW	DIRECT	DETACH
LEXENTRY:	NV	Nevada	PROV	DETACH
LEXENTRY:	NW	NW	DIRECT	DETACH
LEXENTRY:	NW.	NW	DIRECT	DETACH
LEXENTRY:	NY	New York	PROV	DETACH
LEXENTRY:	OFC	OFFICE	UNITH	DETACH
LEXENTRY:	OFFICE	OFFICE	UNITH,PLACEN	DETACH
LEXENTRY:	OH	Ohio	PROV	DETACH
LEXENTRY:	OK	Oklahoma	PROV	DETACH
LEXENTRY:	ONE	1	NUMBER	DETACH
LEXENTRY:	OPAS	OPAS	TYPE	DET_SUF
LEXENTRY:	OR	Oregon	PROV	DETACH
LEXENTRY:	ORCH	ORCH	TYPE	DET_SUF
LEXENTRY:	ORCHARD	ORCH	TYPE	DET_SUF
LEXENTRY:	ORCHRD	ORCH	TYPE	DET_SUF
LEXENTRY:	ORGANIZATION	ORGANIZATION	PLACEN	DETACH
LEXENTRY:	OVAL	OVAL	TYPE	DET_SUF
LEXENTRY:	OVERPASS	OPAS	TYPE	DET_SUF
LEXENTRY:	OVL	OVAL	TYPE	DET_SUF
LEXENTRY:	PA	Pennsylvania	PROV	DETACH
LEXENTRY:	PARK	PARK	TYPE,PLACEN	DET_SUF,DETACH
LEXENTRY:	PARKING	PARKING	PLACEN	DETACH
LEXENTRY:	PARKS	PARK	TYPE	DET_SUF
LEXENTRY:	PARKWAY	PKY	TYPE	DET_SUF
LEXENTRY:	PARKWAYS	PKY	TYPE	DET_SUF
LEXENTRY:	PARKWY	PKY	TYPE	DET_SUF
LEXENTRY:	PASS	PASS	TYPE	DET_SUF
LEXENTRY:	PASSAGE	PSGE	TYPE	DET_SUF
LEXENTRY:	PATH	PATH	TYPE	DET_SUF
LEXENTRY:	PATHS	PATH	TYPE	DET_SUF
LEXENTRY:	PENTHOUSE	PENTHOUSE	UNITH	DETACH
LEXENTRY:	PH	PENTHOUSE	UNITH	DETACH
LEXENTRY:	PH.	PENTHOUSE	UNITH	DETACH
LEXENTRY:	PIER	PIER	UNITH	DETACH
LEXENTRY:	PIKE	PIKE	TYPE	DET_SUF
LEXENTRY:	PIKES	PIKE	TYPE	DET_SUF
LEXENTRY:	PINE	PNE	TYPE	DET_SUF
LEXENTRY:	PINES	PNES	TYPE	DET_SUF
LEXENTRY:	PIZZA	PIZZA	PLACEN	DETACH
LEXENTRY:	PK	PARK	TYPE	DET_SUF
LEXENTRY:	PK.	PARK	TYPE	DET_SUF
LEXENTRY:	PKWAY	PKY	TYPE	DET_SUF
LEXENTRY:	PKWY	PKY	TYPE	DET_SUF
LEXENTRY:	PKWYS	PKY	TYPE	DET_SUF
LEXENTRY:	PKY	PKY	TYPE	DET_SUF
LEXENTRY:	PL	PL	TYPE	DET_SUF
LEXENTRY:	PL.	PL	TYPE	DET_SUF
LEXENTRY:	PLACE	PL	TYPE	DET_SUF
LEXENTRY:	PLAIN	PLN	TYPE	DET_SUF
LEXENTRY:	PLAINS	PLNS	TYPE	DET_SUF
LEXENTRY:	PLAZA	PLAZA	PLACEN	DETACH
LEXENTRY:	PLAZA	PLZ	TYPE	DET_SUF
LEXENTRY:	PLC	PLC	PLACEN	DETACH
LEXENTRY:	PLN	PLN	TYPE	DET_SUF
LEXENTRY:	PLNS	PLNS	TYPE	DET_SUF
LEXENTRY:	PLZ	PLZ	TYPE	DET_SUF
LEXENTRY:	PLZ.	PLZ	TYPE	DET_SUF
LEXENTRY:	PLZA	PLZ	TYPE	DET_SUF
LEXENTRY:	PNE	PNE	TYPE	DET_SUF
LEXENTRY:	PNES	PNES	TYPE	DET_SUF
LEXENTRY:	POINT	PT	TYPE	DET_SUF
LEXENTRY:	POINTS	PTS	TYPE	DET_SUF
LEXENTRY:	POLICE	POLICE	PLACEN	DETACH
LEXENTRY:	PORT	PRT	TYPE	DET_SUF
LEXENTRY:	PORTS	PRTS	TYPE	DET_SUF
LEXENTRY:	PR	PR	TYPE	DET_SUF
LEXENTRY:	PRAIRIE	PR	TYPE	DET_SUF
LEXENTRY:	PRARIE	PR	TYPE	DET_SUF
LEXENTRY:	PRK	PARK	TYPE	DET_SUF
LEXENTRY:	PRR	PR	TYPE	DET_SUF
LEXENTRY:	PRT	PRT	TYPE	DET_SUF
LEXENTRY:	PRTS	PRTS	TYPE	DET_SUF
LEXENTRY:	PSGE	PSGE	TYPE	DET_SUF
LEXENTRY:	PT	PT	TYPE	DET_SUF
LEXENTRY:	PT.	PT	TYPE	DET_SUF
LEXENTRY:	PTS	PTS	TYPE	DET_SUF
LEXENTRY:	RAD	RADL	TYPE	DET_SUF
LEXENTRY:	RADIAL	RADL	TYPE	DET_SUF
LEXENTRY:	RADIEL	RADL	TYPE	DET_SUF
LEXENTRY:	RADL	RADL	TYPE	DET_SUF
LEXENTRY:	RAMP	RAMP	TYPE	DET_SUF
LEXENTRY:	RANCH	RNCH	TYPE	DET_SUF
LEXENTRY:	RANCHES	RNCH	TYPE	DET_SUF
LEXENTRY:	RAPID	RPD	TYPE	DET_SUF
LEXENTRY:	RAPIDS	RPDS	TYPE	DET_SUF
LEXENTRY:	RD	RD	TYPE	DET_SUF
LEXENTRY:	RD OF	ROAD OF	WORD	DETACH
LEXENTRY:	RD.	RD	TYPE	DET_SUF
LEXENTRY:	RD. OF	ROAD OF	WORD	DETACH
LEXENTRY:	RDG	RDG	TYPE	DET_SUF
LEXENTRY:	RDGE	RDG	TYPE	DET_SUF
LEXENTRY:	RDGS	RDGS	TYPE	DET_SUF
LEXENTRY:	RDS	RDS	TYPE	DET_SUF
LEXENTRY:	REAR	REAR	UNITH	DETACH
LEXENTRY:	RENTAL	RENTAL	PLACEN	DETACH
LEXENTRY:	REPAIR	REPAIR	PLACEN	DETACH
LEXENTRY:	REST	RST	TYPE	DET_SUF
LEXENTRY:	RESTAURANT	RESTAURANT	PLACEN	DETACH
LEXENTRY:	RI	Rhode Island	PROV	DETACH
LEXENTRY:	RIDGE	RDG	TYPE	DET_SUF
LEXENTRY:	RIDGES	RDGS	TYPE	DET_SUF
LEXENTRY:	RIV	RIV	TYPE	DET_SUF
LEXENTRY:	RIVER	RIV	TYPE	DET_SUF
LEXENTRY:	RIVR	RIV	TYPE	DET_SUF
LEXENTRY:	RM	ROOM	UNITH	DETACH
LEXENTRY:	RM.	ROOM	UNITH	DETACH
LEXENTRY:	RNCH	RNCH	TYPE	DET_SUF
LEXENTRY:	RNCHS	RNCH	TYPE	DET_SUF
LEXENTRY:	ROAD	RD	TYPE	DET_SUF
LEXENTRY:	ROAD OF	ROAD OF	WORD	DETACH
LEXENTRY:	ROADS	RDS	TYPE	DET_SUF
LEXENTRY:	ROOM	ROOM	UNITH	DETACH
LEXENTRY:	ROUTE	RT	TYPE	DET_PRE
LEXENTRY:	ROW	ROW	TYPE	DET_SUF
LEXENTRY:	RPD	RPD	TYPE	DET_SUF
LEXENTRY:	RPDS	RPDS	TYPE	DET_SUF
LEXENTRY:	RST	RST	TYPE	DET_SUF
LEXENTRY:	RT	RT	TYPE	DET_PRE
LEXENTRY:	RT.	RT	TYPE	DET_PRE
LEXENTRY:	RTE	RT	TYPE	DET_PRE
LEXENTRY:	RUE	RUE	TYPE	DET_SUF
LEXENTRY:	RUN	RUN	TYPE	DET_SUF
LEXENTRY:	RVR	RIV	TYPE	DET_SUF
LEXENTRY:	S	S.	WORD	DETACH
LEXENTRY:	S	S	DIRECT	DETACH
LEXENTRY:	S.	S	DIRECT	DETACH
LEXENTRY:	SAINT	ST	WORD	DETACH
LEXENTRY:	SAINT	ST.	WORD	DETACH
LEXENTRY:	SC	South Carolina	PROV	DETACH
LEXENTRY:	SCHOOL	SCHOOL	PLACEN	DETACH
LEXENTRY:	SD	South Dakota	PROV	DETACH
LEXENTRY:	SE	SE	DIRECT	DETACH
LEXENTRY:	SE.	SE	DIRECT	DETACH
LEXENTRY:	SECOND	2ND	WORD,ORD	DETACH
LEXENTRY:	SERVICE	SERVICE	PLACEN	DETACH
LEXENTRY:	SEVEN	7	NUMBER	DETACH
LEXENTRY:	SEVENTEEN	17	NUMBER	DETACH
LEXENTRY:	SEVENTEENTH	17TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTH	7TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTIETH	70TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTY	70	NUMBER	DETACH
LEXENTRY:	SHL	SHL	TYPE	DET_SUF
LEXENTRY:	SHLS	SHLS	TYPE	DET_SUF
LEXENTRY:	SHOAL	SHL	TYPE	DET_SUF
LEXENTRY:	SHOALS	SHLS	TYPE	DET_SUF
LEXENTRY:	SHOAR	SHR	TYPE	DET_SUF
LEXENTRY:	SHOARS	SHRS	TYPE	DET_SUF
LEXENTRY:	SHOP	SHOP	PLACEN	DETACH
LEXENTRY:	SHORE	SHR	TYPE	DET_SUF
LEXENTRY:	SHORES	SHRS	TYPE	DET_SUF
LEXENTRY:	SHR	SHR	TYPE	DET_SUF
LEXENTRY:	SHRS	SHRS	TYPE	DET_SUF
LEXENTRY:	SIDE	SIDE	UNITH	DETACH
LEXENTRY:	SIX	6	NUMBER	DETACH
LEXENTRY:	SIXTEEN	16	NUMBER	DETACH
LEXENTRY:	SIXTEENTH	16TH	WORD,ORD	DETACH
LEXENTRY:	SIXTH	6TH	WORD,ORD	DETACH
LEXENTRY:	SIXTIETH	60TH	WORD,ORD	DETACH
LEXENTRY:	SIXTY	60	NUMBER	DETACH
LEXENTRY:	SKWY	SKWY	TYPE	DET_SUF
LEXENTRY:	SKYWAY	SKWY	TYPE	DET_SUF
LEXENTRY:	SLIP	SLIP	UNITH	DETACH
LEXENTRY:	SMT	SMT	TYPE	DET_SUF
LEXENTRY:	SOUTH	S.	WORD	DETACH
LEXENTRY:	SOUTH	S	DIRECT	DETACH
LEXENTRY:	SOUTHEAST	SE	DIRECT	DETACH
LEXENTRY:	SOUTHWEST	SW	DIRECT	DETACH
LEXENTRY:	SPACE	SPACE	UNITH	DETACH
LEXENTRY:	SPC	SPACE	UNITH	DETACH
LEXENTRY:	SPG	SPG	TYPE	DET_SUF
LEXENTRY:	SPGS	SPGS	TYPE	DET_SUF
LEXENTRY:	SPNG	SPG	TYPE	DET_SUF
LEXENTRY:	SPNGS	SPGS	TYPE	DET_SUF
LEXENTRY:	SPRING	SPG	TYPE	DET_SUF
LEXENTRY:	SPRINGS	SPGS	TYPE	DET_SUF
LEXENTRY:	SPRNG	SPG	TYPE	DET_SUF
LEXENTRY:	SPRNGS	SPGS	TYPE	DET_SUF
LEXENTRY:	SPUR	SPUR	TYPE	DET_SUF
LEXENTRY:	SPURS	SPUR	TYPE	DET_SUF
LEXENTRY:	SQ	SQ	TYPE	DET_SUF
LEXENTRY:	SQR	SQ	TYPE	DET_SUF
LEXENTRY:	SQRE	SQ	TYPE	DET_SUF
LEXENTRY:	SQS	SQS	TYPE	DET_SUF
LEXENTRY:	SQU	SQ	TYPE	DET_SUF
LEXENTRY:	SQUARE	SQUARE	PLACEN	DETACH
LEXENTRY:	SQUARE	SQ	TYPE	DET_SUF
LEXENTRY:	SQUARES	SQS	TYPE	DET_SUF
LEXENTRY:	ST	ST	TYPE,WORD	DET_SUF,DETACH
LEXENTRY:	ST	ST.	WORD	DETACH
LEXENTRY:	ST OF	STREET OF	WORD	DETACH
LEXENTRY:	ST.	ST	TYPE,WORD	DET_SUF,DETACH
LEXENTRY:	ST. OF	STREET OF	WORD	DETACH
LEXENTRY:	STA	STA	TYPE	DET_SUF
LEXENTRY:	STATION	STATION	PLACEN	DETACH
LEXENTRY:	STATION	STA	TYPE	DET_SUF
LEXENTRY:	STATN	STA	TYPE	DET_SUF
LEXENTRY:	STE	SUITE	UNITH	DETACH
LEXENTRY:	STE.	SUITE	UNITH	DETACH
LEXENTRY:	STN	STA	TYPE	DET_SUF
LEXENTRY:	STOP	STOP	UNITH	DETACH
LEXENTRY:	STR	ST	TYPE	DET_SUF
LEXENTRY:	STR.	ST	TYPE	DET_SUF
LEXENTRY:	STRA	STRA	TYPE	DET_SUF
LEXENTRY:	STRAV	STRA	TYPE	DET_SUF
LEXENTRY:	STRAVE	STRA	TYPE	DET_SUF
LEXENTRY:	STRAVEN	STRA	TYPE	DET_SUF
LEXENTRY:	STRAVENUE	STRA	TYPE	DET_SUF
LEXENTRY:	STRAVN	STRA	TYPE	DET_SUF
LEXENTRY:	STREAM	STRM	TYPE	DET_SUF
LEXENTRY:	STREET	ST	TYPE	DET_SUF
LEXENTRY:	STREET OF	STREET OF	WORD	DETACH
LEXENTRY:	STREETS	STS	TYPE	DET_SUF
LEXENTRY:	STREME	STRM	TYPE	DET_SUF
LEXENTRY:	STRM	STRM	TYPE	DET_SUF
LEXENTRY:	STRT	ST	TYPE	DET_SUF
LEXENTRY:	STRVN	STRA	TYPE	DET_SUF
LEXENTRY:	STRVNUE	STRA	TYPE	DET_SUF
LEXENTRY:	STS	STS	TYPE	DET_SUF
LEXENTRY:	STUDIO	STUDIO	PLACEN	DETACH
LEXENTRY:	SUITE	SUITE	UNITH	DETACH
LEXENTRY:	SUMIT	SMT	TYPE	DET_SUF
LEXENTRY:	SUMITT	SMT	TYPE	DET_SUF
LEXENTRY:	SUMMIT	SMT	TYPE	DET_SUF
LEXENTRY:	SW	SW	DIRECT	DETACH
LEXENTRY:	SW.	SW	DIRECT	DETACH
LEXENTRY:	TEN	10	NUMBER	DETACH
LEXENTRY:	TENTH	10TH	WORD,ORD	DETACH
LEXENTRY:	TER	TER	TYPE	DET_SUF
LEXENTRY:	TERR	TER	TYPE	DET_SUF
LEXENTRY:	TERRACE	TER	TYPE	DET_SUF
LEXENTRY:	THEATRE	THEATRE	PLACEN	DETACH
LEXENTRY:	THIRD	3RD	WORD,ORD	DETACH
LEXENTRY:	THIRTEEN	13	NUMBER	DETACH
LEXENTRY:	THIRTEENTH	13TH	WORD,ORD	DETACH
LEXENTRY:	THIRTIETH	30TH	WORD,ORD	DETACH
LEXENTRY:	THIRTY	30	NUMBER	DETACH
LEXENTRY:	THREE	3	NUMBER	DETACH
LEXENTRY:	THROUGHWAY	TRWY	TYPE	DET_SUF
LEXENTRY:	TN	Tennessee	PROV	DETACH
LEXENTRY:	TPK	TPKE	TYPE	DET_SUF
LEXENTRY:	TPKE	TPKE	TYPE	DET_SUF
LEXENTRY:	TR	TRL	TYPE	DET_SUF
LEXENTRY:	TRACE	TRCE	TYPE	DET_SUF
LEXENTRY:	TRACES	TRCE	TYPE	DET_SUF
LEXENTRY:	TRACK	TRAK	TYPE	DET_SUF
LEXENTRY:	TRACKS	TRAK	TYPE	DET_SUF
LEXENTRY:	TRAFFICWAY	TRFY	TYPE	DET_SUF
LEXENTRY:	TRAIL	TRL	TYPE	DET_SUF
LEXENTRY:	TRAILER	TRAILER	UNITH	DETACH
LEXENTRY:	TRAILS	TRL	TYPE	DET_SUF
LEXENTRY:	TRAK	TRAK	TYPE	DET_SUF
LEXENTRY:	TRCE	TRCE	TYPE	DET_SUF
LEXENTRY:	TRFY	TRFY	TYPE	DET_SUF
LEXENTRY:	TRK	TRAK	TYPE	DET_SUF
LEXENTRY:	TRKS	TRAK	TYPE	DET_SUF
LEXENTRY:	TRL	TRL	TYPE	DET_SUF
LEXENTRY:	TRLR	TRAILER	UNITH	DETACH
LEXENTRY:	TRLS	TRL	TYPE	DET_SUF
LEXENTRY:	TRNPK	TPKE	TYPE	DET_SUF
LEXENTRY:	TRPK	TPKE	TYPE	DET_SUF
LEXENTRY:	TRUST	TRUST	PLACEN	DETACH
LEXENTRY:	TRWY	TRWY	TYPE	DET_SUF
LEXENTRY:	TUNEL	TUNL	TYPE	DET_SUF
LEXENTRY:	TUNL	TUNL	TYPE	DET_SUF
LEXENTRY:	TUNLS	TUNL	TYPE	DET_SUF
LEXENTRY:	TUNNEL	TUNL	TYPE	DET_SUF
LEXENTRY:	TUNNELS	TUNL	TYPE	DET_SUF
LEXENTRY:	TUNNL	TUNL	TYPE	DET_SUF
LEXENTRY:	TURNPIKE	TPKE	TYPE	DET_SUF
LEXENTRY:	TURNPK	TPKE	TYPE	DET_SUF
LEXENTRY:	TWELFTH	12TH	WORD,ORD	DETACH
LEXENTRY:	TWELVE	12	NUMBER	DETACH
LEXENTRY:	TWENTIETH	20TH	WORD,ORD	DETACH
LEXENTRY:	TWENTY	20	NUMBER	DETACH
LEXENTRY:	TWO	2	NUMBER	DETACH
LEXENTRY:	TX	Texas	PROV	DETACH
LEXENTRY:	U.S.	UNITED STATES	NATION	DETACH
LEXENTRY:	U.S.A.	UNITED STATES	NATION	DETACH
LEXENTRY:	UN	UN	TYPE	DET_SUF
LEXENTRY:	UN.	UN	TYPE	DET_SUF
LEXENTRY:	UNDERPASS	UPAS	TYPE	DET_SUF
LEXENTRY:	UNION	UN	TYPE	DET_SUF
LEXENTRY:	UNIONS	UNS	TYPE	DET_SUF
LEXENTRY:	UNIT	UNIT	UNITH	DETACH
LEXENTRY:	UNITED STATES	UNITED STATES	NATION	DETACH
LEXENTRY:	UNITED STATES OF AMERICA	UNITED STATES	NATION	DETACH
LEXENTRY:	UNIVERSITY	UNIVERSITY	PLACEN	DETACH
LEXENTRY:	UNS	UNS	TYPE	DET_SUF
LEXENTRY:	UPAS	UPAS	TYPE	DET_SUF
LEXENTRY:	UPPER	UPPER	UNITH	DETACH
LEXENTRY:	UPPR	UPPER	UNITH	DETACH
LEXENTRY:	US	UNITED STATES	NATION	DETACH
LEXENTRY:	USA	UNITED STATES	NATION	DETACH
LEXENTRY:	UT	Utah	PROV	DETACH
LEXENTRY:	VA	Virginia	PROV	DETACH
LEXENTRY:	VALLEY	VLY	TYPE	DET_SUF
LEXENTRY:	VALLEYS	VLYS	TYPE	DET_SUF
LEXENTRY:	VALLY	VLY	TYPE	DET_SUF
LEXENTRY:	VDCT	VIA	TYPE	DET_SUF
LEXENTRY:	VIA	VIA	TYPE	DET_SUF
LEXENTRY:	VIADCT	VIA	TYPE	DET_SUF
LEXENTRY:	VIADUCT	VIA	TYPE	DET_SUF
LEXENTRY:	VIEW	VW	TYPE	DET_SUF
LEXENTRY:	VIEWS	VWS	TYPE	DET_SUF
LEXENTRY:	VILL	VLG	TYPE	DET_SUF
LEXENTRY:	VILLAG	VLG	TYPE	DET_SUF
LEXENTRY:	VILLAGE	VLG	TYPE	DET_SUF
LEXENTRY:	VILLAGES	VLGS	TYPE	DET_SUF
LEXENTRY:	VILLE	VL	TYPE	DET_SUF
LEXENTRY:	VILLG	VLG	TYPE	DET_SUF
LEXENTRY:	VILLIAGE	VLG	TYPE	DET_SUF
LEXENTRY:	VIS	VIS	TYPE	DET_SUF
LEXENTRY:	VIST	VIS	TYPE	DET_SUF
LEXENTRY:	VISTA	VIS	TYPE	DET_SUF
LEXENTRY:	VL	VL	TYPE	DET_SUF
LEXENTRY:	VLG	VLG	TYPE	DET_SUF
LEXENTRY:	VLGS	VLGS	TYPE	DET_SUF
LEXENTRY:	VLLY	VLY	TYPE	DET_SUF
LEXENTRY:	VLY	VLY	TYPE	DET_SUF
LEXENTRY:	VLYS	VLYS	TYPE	DET_SUF
LEXENTRY:	VST	VIS	TYPE	DET_SUF
LEXENTRY:	VSTA	VIS	TYPE	DET_SUF
LEXENTRY:	VT	Vermont	PROV	DETACH
LEXENTRY:	VW	VW	TYPE	DET_SUF
LEXENTRY:	VWS	VWS	TYPE	DET_SUF
LEXENTRY:	W	W.	WORD	DETACH
LEXENTRY:	W	W	DIRECT	DETACH
LEXENTRY:	W.	W	DIRECT	DETACH
LEXENTRY:	WA	Washington	PROV	DETACH
LEXENTRY:	WALK	WALK	TYPE	DET_SUF
LEXENTRY:	WALKS	WALK	TYPE	DET_SUF
LEXENTRY:	WALL	WALL	TYPE	DET_SUF
LEXENTRY:	WAY	WAY	TYPE	DET_SUF
LEXENTRY:	WAYS	WAYS	TYPE	DET_SUF
LEXENTRY:	WELL	WL	TYPE	DET_SUF
LEXENTRY:	WELLS	WLS	TYPE	DET_SUF
LEXENTRY:	WEST	W.	WORD	DETACH
LEXENTRY:	WEST	W	DIRECT	DETACH
LEXENTRY:	WI	Wisconsin	PROV	DETACH
LEXENTRY:	WL	WL	TYPE	DET_SUF
LEXENTRY:	WLS	WLS	TYPE	DET_SUF
LEXENTRY:	WV	West Virginia	PROV	DETACH
LEXENTRY:	WY	Wyoming	PROV	DETACH
LEXENTRY:	WY	WAY	TYPE	DET_SUF
LEXENTRY:	XING	XING	TYPE	DET_SUF
LEXENTRY:	XRD	XRD	TYPE	DET_SUF
